Radx Parts Pricing Engine — Master List,,,,,,,,,,
Source: OEM Suppliers | Updated: 20/03/2026 | VAT Rate: 15% | Phase 1: Co-Pilot Lookup,,,,,,,,,,
,,,,,,,,,,
#,Part Number,Part Name,Vehicle Model,Supplier,Category,Supplier Price (R),Margin %,Radx Price Excl VAT (R),VAT (R),Total Incl VAT (R)
43,71711M62SA0-5PK,Front Bumper Upr,SPresso,RadX (BB Gezina),OEM,"1,342.62",12.0%,"1,503.73",225.56,"1,729.29"
44,71721M62S00-799,Front Bumper Lwr,SPresso,RadX (BB Gezina),OEM,"3,491.67",12.0%,"3,910.67",586.60,"4,497.27"
45,77811M54GC0-0PG,Front Badge,SPresso,RadX (BB Gezina),OEM,93.75,12.0%,105.00,15.75,120.75
46,71732M62S00-000,Bumper Bracket Lh,SPresso,RadX (BB Gezina),OEM,56.23,12.0%,62.98,9.45,72.42
47,77811M54GC0-0PG,Bumper Bracket Rh,SPresso,RadX (BB Gezina),OEM,93.75,12.0%,105.00,15.75,120.75
48,35321M62S20-000,Left Headlamp,SPresso,RadX (BB Gezina),OEM,"2,184.59",12.0%,"2,446.74",367.01,"2,813.75"
49,35121M62S20-000,Right Headlamp,SPresso,RadX (BB Gezina),OEM,"1,603.65",12.0%,"1,796.09",269.41,"2,065.50"
50,57300M62S00-000,Bonnet,SPresso,RadX (BB Gezina),OEM,"2,452.46",12.0%,"2,746.76",412.01,"3,158.77"
51,17700M62SA0-000,Radiator,SPresso,RadX (BB Gezina),OEM,"2,866.38",12.0%,"3,210.35",481.55,"3,691.90"
52,95310M53T00-000,Condensor,SPresso,RadX (BB Gezina),OEM,"2,405.95",12.0%,"2,694.66",404.20,"3,098.86"
53,58230M62S10-000,Cradle(top piece),SPresso,RadX (BB Gezina),OEM,741.03,12.0%,829.95,124.49,954.45
54,72380M62S10-000,Cradle(lower piece),SPresso,RadX (BB Gezina),OEM,785.91,12.0%,880.22,132.03,"1,012.25"
55,84701M62S50-26U,Right Mirror Complete,SPresso,RadX (BB Gezina),OEM,"2,252.03",12.0%,"2,522.27",378.34,"2,900.61"
56,84702M62S50-26U,Left Mirror Complete,SPresso,RadX (BB Gezina),OEM,"2,696.01",12.0%,"3,019.53",452.93,"3,472.46"
57,68002M62S01-000,Left Front Door,SPresso,RadX (BB Gezina),OEM,"3,631.10",12.0%,"4,066.83",610.02,"4,676.86"
58,68001M62S01-000,Right Front Door,SPresso,RadX (BB Gezina),OEM,"6,864.81",12.0%,"7,688.59","1,153.29","8,841.88"
59,68004M62S01-000,Left Rear Door,SPresso,RadX (BB Gezina),OEM,"4,737.68",12.0%,"5,306.20",795.93,"6,102.13"
60,68003M62S01-000,Right Rear Door,SPresso,RadX (BB Gezina),OEM,"6,300.00",12.0%,"7,056.00","1,058.40","8,114.40"
61,57711M62S00-000,Left Fender,SPresso,RadX (BB Gezina),OEM,"1,188.93",12.0%,"1,331.60",199.74,"1,531.34"
62,57611M62S00-000,Right Fender,SPresso,RadX (BB Gezina),OEM,"1,419.66",12.0%,"1,590.02",238.50,"1,828.52"
63,58270M62S10-000,Bumper Support,SPresso,RadX (BB Gezina),OEM,518.17,12.0%,580.35,87.05,667.40
64,57420M62S00-000,Left Bonnet Hinge,SPresso,RadX (BB Gezina),OEM,133.03,12.0%,148.99,22.35,171.34
65,57410M62S00-000,Right Bonnet Hinge,SPresso,RadX (BB Gezina),OEM,145.02,12.0%,162.42,24.36,186.79
66,72322M62S00-000,Left Fender Liner,SPresso,RadX (BB Gezina),OEM,277.87,12.0%,311.21,46.68,357.90
67,72321M62S00-000,Right Fender Liner,SPresso,RadX (BB Gezina),OEM,249.98,12.0%,279.98,42.00,321.97
68,17100M62SA0-000,Radiator Fan,SPresso,RadX (BB Gezina),OEM,"2,468.36",12.0%,"2,764.56",414.68,"3,179.25"
69,84510M62S02-000,Front Windscreen,SPresso,RadX (BB Gezina),OEM,"3,365.31",12.0%,"3,769.15",565.37,"4,334.52"
70,45202M62S01-000,Control Arm Left,SPresso,RadX (BB Gezina),OEM,860.26,12.0%,963.49,144.52,"1,108.01"
71,45201M62S01-000,Control Arm Right,SPresso,RadX (BB Gezina),OEM,957.98,12.0%,"1,072.94",160.94,"1,233.88"
72,48810M62S00-000,Tie Rod Left,SPresso,RadX (BB Gezina),OEM,212.05,12.0%,237.50,35.62,273.12
73,48810M62S00-000,Tie Rod Right,SPresso,RadX (BB Gezina),OEM,212.05,12.0%,237.50,35.62,273.12
74,48830M62S00-000,Rack Ends,SPresso,RadX (BB Gezina),OEM,273.57,12.0%,306.40,45.96,352.36
75,71089M62S10-5PK,Rear Bumper,SPresso,RadX (BB Gezina),OEM,"1,051.54",12.0%,"1,177.72",176.66,"1,354.38"
76,71831M62S00-000,Bumper Brackets,SPresso,RadX (BB Gezina),OEM,62.13,12.0%,69.59,10.44,80.02
77,64511M62S00-P31,Left Rear QTR Panel,SPresso,RadX (BB Gezina),OEM,"3,825.48",12.0%,"4,284.54",642.68,"4,927.22"
78,64111M62S00-P31,Right Rear QTR Panel,SPresso,RadX (BB Gezina),OEM,"4,425.33",12.0%,"4,956.37",743.46,"5,699.83"
79,35750M62S00-000,LHS tail lamp otr,SPresso,RadX (BB Gezina),OEM,698.17,12.0%,781.95,117.29,899.24
80,35650M62S00-000,RHS tail lamp otr,SPresso,RadX (BB Gezina),OEM,721.45,12.0%,808.02,121.20,929.23
81,35820M62S00-000,Lamp assy center,SPresso,RadX (BB Gezina),OEM,51.55,12.0%,57.74,8.66,66.40
82,35950M55K01-000,Left Rear Reflector,SPresso,RadX (BB Gezina),OEM,59.81,12.0%,66.99,10.05,77.04
83,35970M55K01-000,Right Rear Reflector,SPresso,RadX (BB Gezina),OEM,78.34,12.0%,87.74,13.16,100.90
84,69100M62S00-000,Tailgate,SPresso,RadX (BB Gezina),OEM,"3,865.60",12.0%,"4,329.47",649.42,"4,978.89"
85,77811M63J00-0PG,"Badges ""S""",SPresso,RadX (BB Gezina),OEM,71.27,12.0%,79.82,11.97,91.80
86,77831M62S00-0PG,"Badges ""S-Presso""",SPresso,RadX (BB Gezina),OEM,90.86,12.0%,101.76,15.26,117.03
87,77831M54GB0-0PG,"Badges ""Suzuki""",SPresso,RadX (BB Gezina),OEM,61.88,12.0%,69.31,10.40,79.70
88,65400M62S10-000,Rear Valence,SPresso,RadX (BB Gezina),OEM,"1,309.94",12.0%,"1,467.13",220.07,"1,687.20"
89,84570M62S00-000,Rear Glass Window,SPresso,RadX (BB Gezina),OEM,"2,388.48",12.0%,"2,675.10",401.26,"3,076.36"
90,61513M62S00-000,Hinged Floor Rubberized,SPresso,RadX (BB Gezina),OEM,"1,419.03",12.0%,"1,589.31",238.40,"1,827.71"
91,88910M62S00-GMY,Cargo area Partition,SPresso,RadX (BB Gezina),OEM,705.35,12.0%,789.99,118.50,908.49
,,,,,,,,,,
,,,,,TOTALS,"164,197.69",,"183,901.41",,"211,486.62"
Total parts: 91 | This file seeds the Radx Parts Pricing Engine database,,,,,,,,,,
